Data,Cliente,Produto,Quantidade,Valor,Desconto,Forma de Pagamento,Nº Vezes,Data Vencimento,Status,Vendedor
2025-06-18,Stella Oliveira,Placa de Vídeo RTX,4,13443.77,10%,Boleto,11,2026-01-14,NÃO PAGO,Heloísa
2025-01-02,Aylla Azevedo,Placa de Vídeo GTX,5,8961.45,5%,Boleto,11,2025-11-28,PENDENTE,Gustavo Henrique
2025-11-27,Raul Barros,Placa-Mãe,4,2702.81,10%,Dinheiro,1,2025-11-27,PAGO,Ian
2026-01-04,Pedro Lucas Souza,Cabo de Rede,5,181.81,15%,Pix,1,2026-01-04,PAGO,Henry Gabriel
2025-08-31,Benjamim das Neves,Impressora,2,752.74,20%,Cartão,10,2026-01-28,PAGO,Luna
2025-04-30,Olivia Novais,Mouse,5,321.8,0%,Boleto,10,2026-01-25,NÃO PAGO,Maria Luísa
2025-08-17,Vicente Rezende,Placa de Vídeo GTX,4,6334.3,5%,Pix,1,2025-08-17,PAGO,Caroline
2025-12-17,Maria Flor Sampaio,Processador Intel i5,5,4308.9,0%,Dinheiro,1,2025-12-17,PAGO,Lívia
2025-12-05,Mariane Campos,SSD 256GB,4,1049.64,0%,Cartão,5,2026-02-03,PAGO,Anthony
2025-12-01,Emilly Moreira,Processador AMD Ryzen 7,5,8543.61,15%,Dinheiro,1,2025-12-01,PAGO,Milena
2025-05-16,Enzo Gabriel Marques,"Monitor 24""",2,1095.53,15%,Dinheiro,1,2025-05-16,PAGO,Otto
2025-05-27,Daniela Pires,Teclado,3,543.87,0%,Dinheiro,1,2025-05-27,PAGO,Maria Clara
2025-04-19,Maria Helena Pires,Webcam,2,852.8,10%,Dinheiro,1,2025-04-19,PAGO,Arthur Gabriel
2025-08-21,Vitor Gabriel Araújo,Fonte 700W,4,1391.98,10%,Dinheiro,1,2025-08-21,PAGO,Léo
2025-10-10,Augusto Mendes,Fonte 500W,4,819.93,5%,Cartão,10,2026-02-07,NÃO PAGO,Bella
